STATE,OBJECTID,FIRE_YEAR,DISCOVERY_DATE,DISCOVERY_DOY,DISCOVERY_TIME,STAT_CAUSE_CODE,CONT_DATE,CONT_DOY,CONT_TIME,FIRE_SIZE,LATITUDE,LONGITUDE,OWNER_CODE,FIPS_CODE,STATE_AREA,ratio
AK,10082406848,25727739,31502597432.5,2174064,8505314.0,65585,21335410253.5,1603957.0,7979298.0,50364.2097534375,808709.05400776,-1915750.94951508,113331,54898.0,656425,7.6725002480767035
ID,18731419938,73487513,90008122866.0,7941089,43851136.0,151628,75207289180.0,6799371.0,45327511.0,21381.7733140625,1660558.25849745,-4233918.56260442,238084,970566.0,83574,25.58424068976296
CA,177304918294,379691069,464944239837.0,38212251,152513076.0,1078677,225482192127.0,18713179.0,134455404.0,19915.40401875,7095646.35244035,-22780553.49778738,2040892,3183993.0,163707,12.165273335135334
TX,164180935723,285204502,348618420641.5,23104053,20943578.0,843838,34787460211.5,2409099.0,22636048.0,15290.96610934375,4496697.78229352,-13792929.77040762,1813156,34413470.0,268601,5.692818012346845
NV,9272538860,33965685,41591456040.0,3469888,25015207.0,52368,41392794162.5,3471826.0,26332360.0,14087.27396875,661304.64897097,-1972036.83138541,48984,265515.0,110567,12.740938949912723
OR,40095288823,122360774,149840546619.0,13145199,60146304.0,191639,149013279579.5,13153314.0,64884499.0,13145.002140624998,2681396.67510749,-7406485.45436537,344173,1244406.0,98386,13.360642917310386
NM,21659300100,75049220,91919336048.0,6326048,40115022.0,170812,68792042883.5,4875158.0,41825362.0,9968.815251578126,1300828.63510437,-3993405.6021962,225794,513786.0,121593,8.198510811953094
MT,22445726141,81666538,99998745382.5,8247808,53448207.0,182215,90639583710.0,7550075.0,55173197.0,9811.75956278125,1919948.49661622,-4550636.03691788,256755,876315.0,147046,6.672578351523503
AZ,38165429587,143329695,175566819569.0,13001635,96297555.0,346374,162734755860.5,12162190.0,98555959.0,8713.563959359375,2440450.64234054,-7969783.53768682,391277,270208.0,114006,7.643074890233299
WA,26294838467,67148422,82210177097.5,6872836,29878082.0,171615,52420833349.5,4500005.0,31353129.0,7472.216109374999,1592483.56252315,-4028722.16843011,224981,1053646.0,71303,10.479525559057823
FL,81761212754,180745175,221373168643.5,12854131,33305164.0,433667,53836710997.5,3344491.0,33309604.0,6932.418999765626,2597345.3838475,-7448551.81985312,1115173,5883270.0,65758,10.542320325687559
UT,19950736988,61552630,75367463036.5,6292420,35573144.0,153508,65215953430.0,5490668.0,36749796.0,6429.572435953125,1204457.78743465,-3430797.98661888,191896,690851.0,84904,7.57275562512146
OK,36541404254,86617226,106059214941.5,6057496,44674782.0,372851,74816481610.5,4146057.0,47749609.0,5050.766109375,1521817.41557811,-4123683.45779003,445049,1764376.0,69903,7.225392485837519
WY,11010773468,28386877,34751480513.0,2866688,18550691.0,65924,30439201648.0,2519024.0,18627280.0,3752.2979440625,611593.80752242,-1526101.29720935,97109,169893.0,97818,3.835999452107485
CO,21953199444,68438300,83789277317.5,6491563,43796056.0,132445,69489239866.5,5538359.0,44136796.0,2878.607953125,1330065.60623237,-3651110.35627931,209703,1280885.0,104100,2.7652333843659944
GA,181158314481,338097685,414142567510.5,24874739,145312543.0,887732,243326607514.0,14206181.0,150922974.0,2484.31121884375,5505280.5480955,-14088175.45306409,1780670,24458704.0,59441,4.179457308665315
SD,21218531079,62069609,75965410043.5,5804882,29733157.0,185696,50058674005.0,3868533.0,30732462.0,2454.4775005,1359394.07773848,-3134123.96604994,177217,322011.0,77121,3.1826318389284376
MN,29329699469,89671872,109808321487.5,6257802,29867025.0,271481,47448446337.0,2699829.0,30908910.0,1891.570968765625,2105572.49104205,-4215248.42547387,445212,2258274.0,86943,2.1756449268665965
MS,74577950924,158584118,194292467092.0,11314134,86587433.0,561668,103949351073.5,6162951.0,66645309.0,1774.1934375,2549895.79596907,-7088476.21033207,1053667,3787833.0,48434,3.6631156573894375
KY,26946768341,54331185,66470301247.5,4477866,22750813.0,194503,32197566896.5,2175351.0,19710012.0,1585.76685155625,1013050.32291311,-2272621.41905903,337652,2501805.0,40411,3.9240970318879764
NE,9258671275,16019183,19574149694.5,1260662,7860801.0,40652,12843385656.5,798754.0,8221125.0,1511.5605592187499,330545.13832513,-790401.08426475,97069,10866.0,77358,1.953980918869089
KS,11804993195,15442957,18847129715.5,1020716,9724193.0,51897,16450169039.0,878125.0,10115735.0,1441.5840640625,294105.5840991,-741594.16248491,98434,635187.0,82282,1.7520041613749058
AL,77454402680,133338606,163281776688.0,9962095,46791028.0,404764,76235775756.0,4719620.0,33707937.0,1438.3519609375,2179349.83596004,-5781333.58857255,917814,2814564.0,52423,2.7437421760248366
NC,114384791363,222868177,272930379456.5,15177812,38058095.0,755842,63979381750.5,3738044.0,39833118.0,1141.439781265625,3941257.45826197,-8877699.59079311,1459780,4776630.0,53821,2.120807456690929
LA,27670090367,60156515,73630693051.5,4834789,13699527.0,208523,8059702666.0,576302.0,4965273.0,1032.8498640265625,937054.27039159,-2768954.66346368,368312,855848.0,51843,1.992264845835624
WV,27855947907,43994218,53878490408.5,3431104,26050081.0,131375,43095508466.0,2744408.0,26500068.0,900.986015625,843376.92410468,-1780827.44775036,191256,1150535.0,24231,3.7183195725516898
SC,70915661986,162743008,199399643286.5,11077450,17865783.0,633864,84161525461.0,4302941.0,33331567.0,846.3533515312499,2746493.73220389,-6556687.01717957,1050935,2437119.0,32007,2.644275788206486
AR,29134959371,63506536,77694487406.5,5313264,20321649.0,187562,24946324655.5,1617250.0,15519533.0,795.174734390625,1100261.95163882,-2939984.96829285,358655,1518278.0,53182,1.495195243485813
TN,33974239402,62453979,76433846328.0,5128629,20538981.0,189296,36201724281.5,2324965.0,17044407.0,760.394375015625,1112168.86791533,-2686538.06936815,347795,1627467.0,42146,1.804191085786611
MO,16679556519,35921568,44020567459.5,2313912,23457859.0,110672,17032226502.0,892245.0,10836604.0,718.0089703125,675961.96994952,-1656568.46928823,204210,1706612.0,69709,1.0300089949827138
ND,9305169541,30472257,37294032148.5,2452681,23041286.0,104931,34888086594.5,2268237.0,22537111.0,644.698796875,727040.38356909,-1518528.09944406,45280,48140.0,70704,0.911827897820491
VA,22119424908,43748364,53557607721.5,2966406,3132643.0,127907,9588556829.0,522504.0,2137163.0,533.821593734375,818865.61163221,-1723306.91221537,293711,1240754.0,42769,1.2481507487534782
HI,18217255030,19853439,24283029200.5,1831315,204073.0,127352,407017615.0,29561.0,226530.0,394.9390625,209824.6857313,-1560544.95223952,136787,36659.0,10932,3.6126880945847053
MI,9261307100,21046199,25763090904.0,1564122,11094768.0,62545,19562185386.5,1195317.0,10067698.0,219.108490625,469387.2006067,-896845.20876475,118606,814345.0,96810,0.2263283654839376
PR,37579561714,44304477,54186577279.5,1996407,360900.0,285686,579456291.0,27378.0,367830.0,216.70065625,400969.69089168,-1470893.69602661,306649,4840.0,3515,6.165025782361309
NJ,19538215005,51957594,63641066487.5,4187583,5494210.0,169508,9385955596.5,607020.0,3193382.0,206.19302499999998,1038785.59286313,-1936201.2518631,332632,503479.0,8722,2.364056695711992
NY,113450206486,162338996,198488671590.0,13534163,104509038.0,597571,169231530796.5,11616342.0,100316996.0,146.518707525,3409249.94860962,-6063831.50022263,1095577,5276318.0,54475,0.2689650436438733
WI,32949946663,63802663,78142916037.5,4814658,21835943.0,182763,36532654411.0,2189600.0,22427474.0,138.5551032140625,1428311.65803604,-2865175.56933862,382493,2020181.0,65503,0.21152482056403907
IA,5812331730,8310332,10150684765.0,540504,2761006.0,38216,8021142362.5,432959.0,565696.0,111.706193125,173665.45632061,-385328.44683284,34199,381675.0,56276,0.19849703803575236
MD,2844333026,7271417,8890022179.0,516154,1364256.0,23617,2295356397.5,120345.0,1405704.0,105.12426562499999,140776.51170315,-277409.7466862,43268,76326.0,12407,0.8472980222858063
PA,10004568503,17499696,21386660170.0,1161649,6703482.0,49932,11257866170.5,624973.0,7040713.0,85.5168211390625,355875.34532,-671748.3842966,118489,468216.0,46058,0.18567202470594144
ME,11956036101,26333371,32252051868.0,2060868,6594870.0,117293,25692472755.5,1665507.0,6082637.0,38.3681875,589953.99063355,-909103.759988,148835,216248.0,35387,0.10842452736880775
OH,3790523091,6990662,8541354657.5,503569,2239166.0,22461,3716503927.0,250475.0,2343580.0,37.3966484375,136865.87543641,-286718.95566526003,35012,261549.0,44828,0.08342252261421433
IL,2482057428,4673106,5712075900.5,354800,2548328.0,16332,4332790772.5,281627.0,2541949.0,35.6367421875,91149.33336592,-207554.89177481,21170,192433.0,57918,0.061529649137573805
IN,864756384,4200646,5145383181.0,347240,2161165.0,13329,3641490521.5,241504.0,2252555.0,27.067015625,84400.1587617,-182141.4626091,18395,18571.0,36420,0.07431909836628227
CT,7122392437,9978137,12209103192.0,674523,6557881.0,37216,3018098756.5,162577.0,369533.0,17.567671875,207133.69750567,-362172.62620554,69622,34159.0,5544,0.3168771983225108
MA,4160271343,5285993,6450585505.0,415626,3051858.0,14928,5540436542.5,357761.0,534983.0,9.569890625,110717.61029534,-187622.71750536,33725,38786.0,10555,0.09066689365229749
DE,127824640,342886,419563302.5,25696,52679.0,1063,162022795.0,9425.0,94759.0,7.552578124999999,6665.18966915,-12895.41058096,1737,182.0,1954,0.38651883955987715
NH,3240417591,4911431,6014252010.0,352184,159043.0,15497,950296398.5,62311.0,167995.0,6.0343859375,106410.00360105,-175457.25528888,33360,24085.0,9351,0.06453198521548498
VT,651262632,917164,1119851038.0,60870,63764.0,2737,638476764.0,33652.0,70220.0,2.4320093750000003,20076.86217969,-33177.45296748,5946,4825.0,9615,0.025293909256370255
RI,747097175,965012,1178642401.0,70754,603810.0,3335,898847667.0,55204.0,560612.0,0.878765625,20015.89177009,-34348.81534065,5768,2548.0,1545,0.056878033980582526
DC,35581769,132054,161831412.0,9790,90471.0,478,159380038.5,9595.0,96457.0,0.05078125,2569.56226,-5084.002109,198,0.0,68,0.07467830882352941
